application_id,applicant_name,email,phone,university,department,cgpa,submission_time,submission_hour,ip_address,device_type,time_to_fill_sec,resume_similarity_score,is_duplicate_email,is_duplicate_phone,apps_from_same_ip_1hr,email_domain_type,label
APP01094,Peter Molina,user8852@yopmail.com,3001161102,NED University,Electrical Engineering,3.94,19/02/2024 23:00,23,3.115.24.253,Mobile,5,0.939,TRUE,FALSE,10,disposable,fake
APP00071,Jennifer Horton,jacksonamy73@lums.edu.pk,315438490,GIK Institute,Mechanical Engineering,3.19,18/06/2024 20:59,20,7.64.52.118,Mobile,322,0.3,FALSE,FALSE,1,university,normal
APP00334,Veronica Jones,cbarton743@live.com,316630978,SZABIST,Computer Science,2.42,27/02/2024 19:55,19,9.201.204.1,Mobile,434,0.488,FALSE,FALSE,1,legit,normal
APP00454,Patty Green,benjaminjose333@nust.edu.pk,303807840,GIK Institute,Business Administration,3.11,11/04/2024 20:15,20,33.96.60.236,Tablet,129,0.32,FALSE,FALSE,1,university,normal
APP00142,Cynthia Martinez,carrie69778@hotmail.com,338526283,NED University,Computer Science,3.72,05/01/2024 12:13,12,68.203.172.248,Desktop,273,0.4,FALSE,FALSE,1,legit,normal
APP00544,Dalton Mills,imeyers748@hotmail.com,328800337,Air University,Computer Science,2.99,05/06/2024 9:15,9,2.35.169.199,Desktop,603,0.365,FALSE,FALSE,1,legit,normal
APP00293,David Ruiz,nicolejohnson511@live.com,339036805,FAST NUCES,Computer Science,2.53,05/02/2024 14:12,14,77.246.88.122,Tablet,778,0.289,FALSE,FALSE,1,legit,normal
APP00399,John Fox,joshua95584@iba.edu.pk,317319298,SZABIST,Electrical Engineering,2.69,16/06/2024 22:53,22,131.220.92.52,Desktop,199,0.207,FALSE,FALSE,1,university,normal
APP00765,David Walsh,justinjohnston944@outlook.com,304172607,PMAS-UAAR,Data Science,2.56,08/02/2024 13:15,13,37.24.113.87,Desktop,174,0.154,FALSE,FALSE,1,legit,normal
APP00487,Denise Gallagher,savannah42283@iba.edu.pk,305323142,University of Punjab,Electrical Engineering,3.69,08/01/2024 16:17,16,49.246.235.84,Mobile,350,0.493,FALSE,FALSE,1,university,normal
APP00520,Robert Meyers,kbrewer936@outlook.com,308445293,Air University,Computer Science,3.52,08/05/2024 10:12,10,5.42.134.40,Tablet,468,0.403,FALSE,FALSE,1,legit,normal
APP00546,Luke White,mjordan432@nu.edu.pk,325942868,UET Lahore,Software Engineering,2.07,01/06/2024 19:19,19,126.187.209.123,Desktop,864,0.143,FALSE,FALSE,1,university,normal
APP00931,Mary Buchanan,charles04@yahoo.com,329706758,PMAS-UAAR,Accounting,3.17,26/03/2024 10:36,10,89.47.167.222,Mobile,15,0.535,FALSE,FALSE,1,legit,suspicious
APP00868,Linda Salazar,ericadavis@live.com,308286823,COMSATS,Business Administration,2.55,22/01/2024 20:27,20,102.255.169.20,Desktop,373,0.401,TRUE,FALSE,1,legit,suspicious
APP00992,Caleb Mendez,rcalderon@yahoo.com,312619679,SZABIST,Computer Science,2.97,22/06/2024 15:20,15,78.149.203.53,Mobile,898,0.876,FALSE,FALSE,1,legit,suspicious
APP00662,Jason Bullock,anthonybell204@live.com,307954096,Quaid-i-Azam University,Software Engineering,2.75,06/04/2024 21:56,21,31.253.23.144,Mobile,704,0.521,FALSE,FALSE,1,legit,normal
APP00221,John Kirby,jamesmccoy487@uet.edu.pk,321781180,University of Punjab,Computer Science,3.3,12/03/2024 22:34,22,6.181.214.142,Desktop,697,0.099,FALSE,FALSE,1,university,normal
APP01051,Danielle Rodriguez,user5071@tempmail.com,3003915393,COMSATS,Accounting,4.44,04/04/2024 1:01,1,177.219.29.131,Mobile,3,0.93,TRUE,FALSE,8,disposable,fake
APP00696,Erika Thomas,mjackson911@nust.edu.pk,332961940,COMSATS,Data Science,3.78,29/03/2024 15:44,15,89.191.78.179,Mobile,566,0.158,FALSE,FALSE,1,university,normal
APP00443,Alyssa Freeman,merrittluke656@iba.edu.pk,326824517,COMSATS,Data Science,2.43,23/01/2024 15:19,15,210.66.211.151,Mobile,494,0.086,FALSE,FALSE,1,university,normal
APP01100,Mary Thompson,user1993@throwam.com,3007415713,Quaid-i-Azam University,Data Science,3.61,22/04/2024 3:00,3,197.67.240.58,Mobile,3,0.919,TRUE,TRUE,20,disposable,fake
APP00209,Katherine Reyes,villanuevajoshua223@iba.edu.pk,334504577,PMAS-UAAR,Business Administration,2.58,04/01/2024 11:59,11,76.6.31.195,Tablet,314,0.065,FALSE,FALSE,1,university,normal
APP00274,Martin Brown,andrealozano123@hotmail.com,303302031,Bahria University,Computer Science,2.31,29/03/2024 16:33,16,215.138.85.94,Mobile,858,0.205,FALSE,FALSE,1,legit,normal
APP00429,Crystal Boyd,whardy13@gmail.com,317365745,NED University,Computer Science,2.62,05/06/2024 21:16,21,123.116.217.216,Desktop,311,0.13,FALSE,FALSE,1,legit,normal
APP00695,Miguel Vega,mike51498@nust.edu.pk,334890733,Bahria University,Computer Science,3,18/04/2024 17:20,17,211.58.99.107,Mobile,686,0.491,FALSE,FALSE,1,university,normal
APP00410,Frederick Gallagher,stephen47264@nust.edu.pk,311091762,Bahria University,Accounting,3.5,27/05/2024 16:07,16,67.96.41.19,Mobile,652,0.36,FALSE,FALSE,1,university,normal
APP01074,Patricia Cowan,user1420@yopmail.com,3009414832,SZABIST,Computer Science,0.37,02/01/2024 23:01,23,197.67.240.58,Mobile,5,0.913,TRUE,TRUE,19,disposable,fake
APP00550,Lisa Smith,williamscynthia610@hotmail.com,319320631,GIK Institute,Electrical Engineering,3.46,01/03/2024 18:28,18,86.39.0.91,Desktop,863,0.116,FALSE,FALSE,1,legit,normal
APP00045,Sara Martinez,ronaldedwards225@nust.edu.pk,319689889,COMSATS,Computer Science,3.06,01/02/2024 15:08,15,29.130.239.57,Desktop,595,0.543,FALSE,FALSE,1,university,normal
APP01035,Brian Miller,user2033@yopmail.com,3005529825,PMAS-UAAR,Computer Science,3.85,16/04/2024 1:00,1,197.67.240.58,Mobile,6,0.891,TRUE,FALSE,17,disposable,fake
APP00763,Mrs. Rebecca Moore,dgallagher313@outlook.com,335029047,Quaid-i-Azam University,Mechanical Engineering,2.71,13/02/2024 16:51,16,154.189.20.201,Tablet,758,0.483,FALSE,FALSE,1,legit,normal
APP00333,Cassandra Neal,smithmichael654@iba.edu.pk,337014583,Air University,Business Administration,3.61,17/06/2024 22:35,22,161.195.75.166,Mobile,305,0.259,FALSE,FALSE,1,university,normal
APP00352,Nathan Sanchez,sanchezkaitlyn665@nust.edu.pk,312896774,LUMS,Accounting,3.38,10/02/2024 9:26,9,53.133.9.27,Mobile,724,0.313,FALSE,FALSE,1,university,normal
APP00200,Angelica Gamble,robertwheeler542@nust.edu.pk,314736121,PMAS-UAAR,Computer Science,3.44,17/03/2024 15:43,15,113.6.35.245,Desktop,856,0.293,FALSE,FALSE,1,university,normal
APP00972,Erika Williams,gregory15@yopmail.com,325838692,NUST,Computer Science,2.97,24/06/2024 10:29,10,193.143.164.124,Mobile,817,0.532,FALSE,FALSE,1,disposable,suspicious
APP00159,Melissa Gonzales,msloan813@hotmail.com,329535505,IBA Karachi,Computer Science,3.87,05/02/2024 11:50,11,142.189.166.24,Mobile,625,0.305,FALSE,FALSE,1,legit,normal
APP00356,Mark Gross,christopher89914@iba.edu.pk,301195368,SZABIST,Software Engineering,2.96,30/04/2024 21:31,21,136.73.52.213,Mobile,289,0.27,FALSE,FALSE,1,university,normal
APP00193,Steven Villarreal,michaela57377@live.com,314676367,LUMS,Electrical Engineering,2.29,04/06/2024 13:26,13,41.236.227.213,Desktop,838,0.259,FALSE,FALSE,1,legit,normal
APP00884,Elizabeth Garcia,rsmith@hotmail.com,318418631,IBA Karachi,Business Administration,2.52,28/05/2024 18:51,18,167.144.139.122,Mobile,890,0.844,FALSE,FALSE,1,legit,suspicious
APP00232,Clifford Morales,delacruzbrianna140@uet.edu.pk,326379868,NED University,Accounting,2.38,21/03/2024 10:25,10,161.50.6.89,Mobile,446,0.382,FALSE,FALSE,1,university,normal
APP00052,Tyrone Mccarthy,dawn6286@gmail.com,333276659,PMAS-UAAR,Electrical Engineering,2.35,07/03/2024 14:20,14,150.147.143.146,Mobile,336,0.186,FALSE,FALSE,1,legit,normal
APP00724,Kimberly Alexander,smithlisa136@uet.edu.pk,319468532,SZABIST,Electrical Engineering,3.45,19/06/2024 15:09,15,81.202.153.129,Mobile,865,0.44,FALSE,FALSE,1,university,normal
APP00319,Eric Bonilla,johnlandry597@uet.edu.pk,302772258,NED University,Mechanical Engineering,2.19,14/03/2024 21:34,21,115.112.134.76,Tablet,472,0.145,FALSE,FALSE,1,university,normal
APP00732,Timothy Matthews,jennifer62521@lums.edu.pk,332930745,UET Lahore,Computer Science,2.6,21/05/2024 14:04,14,101.146.46.176,Mobile,615,0.348,FALSE,FALSE,1,university,normal
APP01039,David Nichols,user451@mailinator.com,3004899524,FAST NUCES,Mechanical Engineering,4.25,10/01/2024 3:03,3,129.226.0.248,Mobile,4,0.971,TRUE,TRUE,20,disposable,fake
APP00057,Lori Castaneda,jennifer71871@live.com,301689025,Quaid-i-Azam University,Data Science,2.81,04/04/2024 9:32,9,141.73.254.99,Mobile,783,0.467,FALSE,FALSE,1,legit,normal
APP00505,Melissa Proctor,lmcgrath244@lums.edu.pk,318981122,COMSATS,Electrical Engineering,2.84,02/06/2024 17:00,17,137.212.131.248,Tablet,370,0.153,FALSE,FALSE,1,university,normal
APP00297,Christine Patel,shannonmelendez590@outlook.com,336952633,University of Punjab,Mechanical Engineering,3.88,14/02/2024 10:15,10,33.215.48.214,Mobile,726,0.406,FALSE,FALSE,1,legit,normal
APP00529,Isabel Rivera,anthonylopez482@lums.edu.pk,314754647,LUMS,Mechanical Engineering,3.7,07/03/2024 22:23,22,22.13.105.199,Mobile,521,0.504,FALSE,FALSE,1,university,normal
APP00211,Daniel Butler,dandrews526@nu.edu.pk,338818250,NUST,Mechanical Engineering,3.86,30/04/2024 20:53,20,25.170.221.67,Tablet,447,0.204,FALSE,FALSE,1,university,normal
APP00514,Theresa Jones,jillwilson316@yahoo.com,329500841,Air University,Business Administration,3.46,30/01/2024 18:21,18,167.160.190.212,Mobile,469,0.313,FALSE,FALSE,1,legit,normal
APP00139,Chad Martin,patelderek872@iba.edu.pk,305782563,NUST,Mechanical Engineering,2.3,25/04/2024 22:32,22,176.172.217.255,Desktop,270,0.05,FALSE,FALSE,1,university,normal
APP00179,Jon Stevenson,amyshaw894@lums.edu.pk,303316639,Air University,Software Engineering,3.07,18/06/2024 15:33,15,63.247.193.202,Mobile,505,0.095,FALSE,FALSE,1,university,normal
APP00644,Charles Manning,mark48517@live.com,328263032,SZABIST,Data Science,2.6,16/04/2024 14:16,14,99.1.111.101,Desktop,759,0.369,FALSE,FALSE,1,legit,normal
APP01012,Melissa Rodriguez,user1259@throwam.com,3006465833,NED University,Business Administration,0.3,13/03/2024 2:00,2,154.254.232.9,Mobile,6,0.92,TRUE,TRUE,18,disposable,fake
APP00175,Colleen Nelson,madison02758@uet.edu.pk,326643410,Air University,Mechanical Engineering,2.97,05/05/2024 19:36,19,57.54.30.138,Mobile,426,0.009,FALSE,FALSE,1,university,normal
APP00431,Matthew Williams,amanda32185@lums.edu.pk,314834713,PMAS-UAAR,Computer Science,3.37,01/03/2024 16:27,16,217.66.193.155,Mobile,510,0.44,FALSE,FALSE,1,university,normal
APP00971,Michelle Price,christinecook@hotmail.com,326556541,University of Karachi,Data Science,2.81,11/03/2024 12:12,12,63.120.120.108,Desktop,55,0.386,FALSE,FALSE,7,legit,suspicious
APP00110,Miss Patricia Paul,nrobinson441@outlook.com,334833486,University of Karachi,Business Administration,3.57,12/04/2024 14:46,14,75.88.21.241,Mobile,217,0.172,FALSE,FALSE,1,legit,normal
APP00276,Glen Wagner,arthurjordan467@lums.edu.pk,321930113,COMSATS,Mechanical Engineering,3.08,04/04/2024 10:16,10,221.77.230.233,Tablet,225,0.371,FALSE,FALSE,1,university,normal
APP00032,Steven Pope,matthew68559@hotmail.com,307194416,NED University,Data Science,2.28,02/02/2024 8:19,8,155.21.118.89,Tablet,493,0.438,FALSE,FALSE,1,legit,normal
APP00087,Deborah Hickman,jacquelineroy37@iba.edu.pk,304938791,SZABIST,Accounting,3.75,28/02/2024 19:05,19,160.26.204.172,Tablet,564,0.418,FALSE,FALSE,1,university,normal
APP00405,David Wallace,andrew16814@hotmail.com,319569884,UET Lahore,Software Engineering,3.38,28/03/2024 22:29,22,26.79.90.86,Desktop,730,0.126,FALSE,FALSE,1,legit,normal
APP00089,Kayla Chandler,mwilliams580@nust.edu.pk,313851852,LUMS,Computer Science,3.16,07/04/2024 17:43,17,190.157.123.52,Mobile,366,0.321,FALSE,FALSE,1,university,normal
APP00108,Rebecca Powell,wtaylor76@lums.edu.pk,306404139,NED University,Software Engineering,2.12,11/03/2024 17:40,17,7.247.16.86,Desktop,719,0.179,FALSE,FALSE,1,university,normal
APP00810,Scott Townsend,guy72316@lums.edu.pk,307858317,University of Punjab,Computer Science,3.89,01/02/2024 14:59,14,71.140.92.213,Mobile,699,0.42,FALSE,FALSE,1,university,normal
APP00889,Melody Lewis,fsalas@throwam.com,313335893,COMSATS,Mechanical Engineering,3.1,23/04/2024 21:10,21,123.207.23.138,Mobile,434,0.085,TRUE,FALSE,1,legit,suspicious
APP00157,Amber King,lewisamber220@lums.edu.pk,329240971,IBA Karachi,Computer Science,2.26,19/01/2024 15:11,15,142.195.80.214,Mobile,850,0.048,FALSE,FALSE,1,university,normal
APP00713,Gary Cain,hughesdesiree291@iba.edu.pk,312557253,Air University,Data Science,2.59,28/03/2024 20:40,20,78.139.134.7,Mobile,283,0.49,FALSE,FALSE,1,university,normal
APP00482,Nicole Olsen,lprice217@iba.edu.pk,319778944,GIK Institute,Business Administration,3.04,08/06/2024 19:09,19,142.72.205.125,Desktop,831,0.01,FALSE,FALSE,1,university,normal
APP00852,Elaine Snyder,felicia98@yopmail.com,332761653,GIK Institute,Computer Science,2.34,19/03/2024 17:52,17,192.18.241.254,Mobile,621,0.192,FALSE,FALSE,1,disposable,suspicious
APP00999,Monica Perry,suzannerussell@hotmail.com,327550268,Bahria University,Business Administration,2.13,10/02/2024 12:04,12,200.19.214.50,Desktop,104,0.469,FALSE,FALSE,7,legit,suspicious
APP00759,Debbie Johnson,paula50710@outlook.com,318827187,NED University,Software Engineering,2.45,25/03/2024 20:47,20,92.47.217.243,Mobile,504,0.101,FALSE,FALSE,1,legit,normal
APP00571,Theresa Davis,meganclark226@uet.edu.pk,304399754,University of Karachi,Business Administration,3.54,22/06/2024 14:20,14,50.157.248.175,Tablet,243,0.317,FALSE,FALSE,1,university,normal
APP00310,Daniel Gomez,whitebianca305@live.com,312609202,FAST NUCES,Electrical Engineering,3.09,05/05/2024 10:03,10,55.116.113.190,Mobile,489,0.048,FALSE,FALSE,1,legit,normal
APP00495,Amy Sullivan,gary73761@outlook.com,314431982,NUST,Software Engineering,3.76,22/04/2024 21:39,21,12.18.135.3,Desktop,621,0.477,FALSE,FALSE,1,legit,normal
APP00324,Grace Alexander,randy16139@nust.edu.pk,303914829,IBA Karachi,Mechanical Engineering,2.38,15/01/2024 11:02,11,8.165.114.56,Mobile,587,0.198,FALSE,FALSE,1,university,normal
APP00011,Taylor Webb,rodneyrodriguez611@nust.edu.pk,339877065,UET Lahore,Data Science,3.64,03/01/2024 18:46,18,24.204.112.3,Desktop,237,0.295,FALSE,FALSE,1,university,normal
APP00372,Stacie Morgan,ellislisa980@nust.edu.pk,321902651,FAST NUCES,Accounting,2.48,07/06/2024 21:49,21,153.186.89.27,Desktop,573,0.501,FALSE,FALSE,1,university,normal
APP00740,Cindy George,julie96552@yahoo.com,308468826,SZABIST,Computer Science,2.67,06/04/2024 21:38,21,118.107.255.49,Mobile,486,0.462,FALSE,FALSE,1,legit,normal
APP00698,Jon Calhoun,vcollins135@lums.edu.pk,327549342,University of Karachi,Mechanical Engineering,3.79,16/06/2024 19:23,19,21.236.23.35,Desktop,603,0.464,FALSE,FALSE,1,university,normal
APP00947,Rhonda Nguyen,stephen37@live.com,312726714,Air University,Business Administration,3.4,20/06/2024 9:36,9,188.150.235.4,Mobile,65,0.416,FALSE,FALSE,5,legit,suspicious
APP00553,Eric Fletcher,wberry700@iba.edu.pk,302633502,University of Punjab,Data Science,3.21,20/04/2024 17:58,17,35.208.194.175,Tablet,787,0.184,FALSE,FALSE,1,university,normal
APP00599,Alice Perez,lewisbailey789@live.com,303488704,Quaid-i-Azam University,Business Administration,2.87,12/02/2024 17:59,17,202.220.175.110,Desktop,284,0.157,FALSE,FALSE,1,legit,normal
APP00406,Mr. Eric Harper PhD,danielwilliams136@nust.edu.pk,301277874,IBA Karachi,Data Science,3.63,09/05/2024 18:26,18,45.161.235.237,Desktop,273,0.098,FALSE,FALSE,1,university,normal
APP00885,William May,housetroy@tempmail.com,319036402,NUST,Electrical Engineering,2.35,17/02/2024 21:55,21,68.120.113.220,Mobile,300,0.27,FALSE,FALSE,1,disposable,suspicious
APP00555,Shannon Carlson,whitemichelle346@iba.edu.pk,316255795,Air University,Computer Science,3.28,18/01/2024 8:26,8,130.113.3.83,Desktop,220,0.377,FALSE,FALSE,1,university,normal
APP01019,Shane Knapp,user4532@mailinator.com,3006647890,NED University,Data Science,3.52,31/03/2024 23:03,23,117.72.183.14,Mobile,5,0.915,TRUE,TRUE,20,disposable,fake
APP00114,Nicholas Russell,bbaxter588@live.com,318199311,PMAS-UAAR,Data Science,3.85,08/06/2024 17:43,17,28.80.53.143,Desktop,778,0.335,FALSE,FALSE,1,legit,normal
APP00140,Joshua White,ddonaldson837@outlook.com,336865064,University of Punjab,Computer Science,2.79,11/04/2024 16:23,16,76.243.91.11,Mobile,361,0.045,FALSE,FALSE,1,legit,normal
APP00916,Grace Smith,kimberly56@outlook.com,332568722,Quaid-i-Azam University,Electrical Engineering,2.91,16/05/2024 22:52,22,120.47.81.150,Mobile,95,0.099,FALSE,FALSE,6,legit,suspicious
APP00050,Natalie Adams,ngomez306@nu.edu.pk,338030010,Air University,Accounting,3.4,03/06/2024 22:14,22,14.177.173.1,Mobile,619,0.24,FALSE,FALSE,1,university,normal
APP00060,Amanda Oneal,mcculloughdaniel250@lums.edu.pk,337358385,Quaid-i-Azam University,Computer Science,2.94,24/03/2024 10:31,10,26.147.218.112,Mobile,337,0.142,FALSE,FALSE,1,university,normal
APP00940,Jeffrey Fernandez,vhuff@live.com,309991819,FAST NUCES,Data Science,3,09/02/2024 11:55,11,188.150.235.4,Mobile,68,0.119,FALSE,FALSE,4,legit,suspicious
APP00300,Ronald Sparks,hlee941@hotmail.com,321999183,FAST NUCES,Software Engineering,3.11,06/02/2024 20:07,20,52.123.82.166,Tablet,658,0.528,FALSE,FALSE,1,legit,normal
APP00859,Charlene Lewis,jamesjimenez@live.com,308527132,LUMS,Accounting,3.81,14/05/2024 22:14,22,202.173.46.255,Mobile,299,0.807,FALSE,FALSE,1,legit,suspicious
APP01032,Fernando Aguirre,user6315@mailinator.com,3006531182,LUMS,Data Science,0.39,24/01/2024 3:02,3,113.129.253.61,Mobile,2,0.942,TRUE,TRUE,16,disposable,fake
APP00729,Matthew Harrison,xcarrillo881@gmail.com,327409080,UET Lahore,Computer Science,2.22,26/01/2024 16:10,16,159.50.4.252,Mobile,412,0.141,FALSE,FALSE,1,legit,normal
APP00697,Christopher Nguyen,hortonjames481@outlook.com,328350277,IBA Karachi,Data Science,2.42,24/06/2024 13:58,13,14.27.208.238,Tablet,736,0.393,FALSE,FALSE,1,legit,normal
APP00781,Sarah White,kelliramirez401@nust.edu.pk,312857975,LUMS,Data Science,2.79,18/01/2024 14:57,14,87.93.216.76,Mobile,331,0.113,FALSE,FALSE,1,university,normal
APP00024,Robin Waters,imason594@gmail.com,306261415,FAST NUCES,Computer Science,3.11,08/05/2024 22:54,22,61.152.135.19,Mobile,663,0.528,FALSE,FALSE,1,legit,normal
APP00758,Mrs. Regina Gonzalez,donna28615@lums.edu.pk,326631448,NED University,Business Administration,2.8,11/02/2024 9:29,9,199.110.158.118,Mobile,163,0.506,FALSE,FALSE,1,university,normal
APP00747,William Maddox,swilliams285@gmail.com,339932362,COMSATS,Business Administration,2.01,19/02/2024 13:05,13,175.143.217.134,Desktop,705,0.545,FALSE,FALSE,1,legit,normal
APP00530,Dylan Russell,singhalan808@nu.edu.pk,328604827,COMSATS,Computer Science,2.12,29/01/2024 13:30,13,175.244.9.164,Desktop,592,0.155,FALSE,FALSE,1,university,normal
APP00210,Joan Beasley,alangreen937@lums.edu.pk,314431161,University of Karachi,Software Engineering,3.05,13/03/2024 14:29,14,221.188.65.96,Desktop,666,0.17,FALSE,FALSE,1,university,normal
APP00829,Marcus Davis,tyler62@hotmail.com,312084932,SZABIST,Business Administration,2.74,07/04/2024 18:41,18,154.221.187.1,Tablet,16,0.24,FALSE,FALSE,1,legit,suspicious
APP00468,Terry Phillips,tarabrennan925@nu.edu.pk,326446792,PMAS-UAAR,Business Administration,2.78,11/06/2024 14:52,14,193.170.98.171,Mobile,863,0.132,FALSE,FALSE,1,university,normal
APP01023,Whitney Krueger,user531@tempmail.com,3009534539,GIK Institute,Software Engineering,3.98,17/05/2024 2:00,2,154.254.232.9,Mobile,2,0.904,TRUE,TRUE,18,disposable,fake
APP00382,Donald White,jonathanbush735@lums.edu.pk,321635626,NUST,Computer Science,2.1,05/03/2024 16:04,16,197.0.140.42,Desktop,708,0.501,FALSE,FALSE,1,university,normal
APP00084,Kelly Santiago,marcusholmes680@nust.edu.pk,319310235,FAST NUCES,Software Engineering,2.95,31/05/2024 13:55,13,191.114.41.171,Tablet,222,0.242,FALSE,FALSE,1,university,normal
APP00886,Carlos Boyer,mooreelizabeth@hotmail.com,306203625,LUMS,Software Engineering,3.59,24/06/2024 17:12,17,129.156.222.117,Mobile,191,0.797,FALSE,FALSE,1,legit,suspicious
APP00533,Brandon Garza MD,mason62804@nust.edu.pk,336741177,Air University,Accounting,2.45,18/06/2024 18:04,18,131.196.19.55,Tablet,877,0.316,FALSE,FALSE,1,university,normal
APP01003,Melissa Rodriguez,user7169@throwam.com,3006078780,Quaid-i-Azam University,Mechanical Engineering,0.36,22/03/2024 1:00,1,208.244.179.164,Mobile,5,0.914,TRUE,TRUE,11,disposable,fake
APP00823,Javier Young,rachelcastaneda@live.com,309902483,UET Lahore,Accounting,3.47,04/03/2024 13:28,13,106.88.91.115,Desktop,25,0.478,FALSE,FALSE,1,legit,suspicious
APP00446,Angelica Lawson,jameswarren849@nust.edu.pk,334700926,UET Lahore,Computer Science,2.8,02/03/2024 16:48,16,139.189.15.161,Desktop,747,0.377,FALSE,FALSE,1,university,normal
APP00129,Amy Brown,stevenhanson106@lums.edu.pk,322414808,Air University,Accounting,2.33,04/03/2024 19:28,19,1.165.17.204,Desktop,569,0.335,FALSE,FALSE,1,university,normal
APP00360,Brian Myers PhD,jamesamanda974@lums.edu.pk,327095875,PMAS-UAAR,Computer Science,3.55,26/04/2024 13:35,13,145.118.72.51,Desktop,754,0.394,FALSE,FALSE,1,university,normal
APP00946,Zachary Fowler,fsandoval@gmail.com,321182888,Bahria University,Business Administration,2.42,25/05/2024 20:20,20,186.49.234.215,Desktop,28,0.212,FALSE,FALSE,1,legit,suspicious
APP00782,Katherine Martinez,foxchristina838@nust.edu.pk,333663907,NED University,Data Science,3.78,30/05/2024 11:32,11,94.203.62.23,Desktop,853,0.151,FALSE,FALSE,1,university,normal
APP00603,Anna Miller,nicholasanderson993@live.com,318417300,Quaid-i-Azam University,Accounting,2.21,02/05/2024 22:02,22,60.88.188.132,Desktop,262,0.064,FALSE,FALSE,1,legit,normal
APP00077,Elizabeth Yoder,john53259@nu.edu.pk,322944841,GIK Institute,Electrical Engineering,3.64,01/01/2024 18:55,18,21.72.9.90,Mobile,675,0.03,FALSE,FALSE,1,university,normal
APP00616,Russell Sawyer,mwilliams278@live.com,322607817,Air University,Data Science,2.67,06/02/2024 8:08,8,27.21.187.242,Mobile,650,0.428,FALSE,FALSE,1,legit,normal
APP00812,Deborah Campbell,cking249@outlook.com,331578940,University of Punjab,Mechanical Engineering,2.69,29/06/2024 18:01,18,98.17.185.53,Desktop,834,0.081,FALSE,FALSE,1,legit,normal
APP00569,Frank Campbell,jeffromero501@hotmail.com,308905753,University of Punjab,Data Science,2.09,28/06/2024 18:08,18,143.106.184.225,Mobile,134,0.027,FALSE,FALSE,1,legit,normal
APP00219,Carolyn Collins,nancycarr701@live.com,301531577,NUST,Electrical Engineering,2.72,21/05/2024 15:03,15,138.74.132.206,Mobile,772,0.094,FALSE,FALSE,1,legit,normal
APP00345,Ms. Elizabeth Jones,qsaunders712@outlook.com,306051895,University of Karachi,Accounting,2.19,13/05/2024 12:39,12,172.101.58.111,Desktop,740,0.23,FALSE,FALSE,1,legit,normal
APP00586,Alfred Johnson,josephatkinson428@gmail.com,301672073,COMSATS,Accounting,3.46,09/01/2024 14:33,14,43.45.140.139,Mobile,523,0.439,FALSE,FALSE,1,legit,normal
APP00248,Victoria Williams,genglish192@hotmail.com,328566540,NED University,Computer Science,3.64,03/01/2024 15:08,15,155.125.176.53,Desktop,319,0.53,FALSE,FALSE,1,legit,normal
APP00389,Makayla Duffy,moorejoseph101@live.com,319173698,Quaid-i-Azam University,Business Administration,2.24,16/06/2024 11:06,11,161.100.46.3,Desktop,411,0.495,FALSE,FALSE,1,legit,normal
APP00793,Megan Pace,ydurham931@nu.edu.pk,314355203,NUST,Computer Science,2.8,04/01/2024 13:52,13,154.214.87.78,Desktop,316,0.035,FALSE,FALSE,1,university,normal
